tsne_1,tsne_2
26.35814,-36.14134
-20.423824,-36.14247
8.5358925,8.222071
-6.836975,3.5114176
8.65258,-32.706192
-57.924717,-18.08712
2.2504425,12.1665535
-54.37432,14.494014
25.525295,21.11627
-40.338753,-29.962532
-32.16384,5.6041512
-23.419292,-37.63772
30.858133,-45.469677
-1.4658923,0.031126492
12.139451,25.012196
-11.772792,-4.964559
31.09577,3.255699
58.618412,16.32158
41.310875,-41.23761
19.829851,-10.400714
-68.14673,-1.1690289
40.620174,12.745466
13.854711,-6.2331953
5.030623,30.244764
35.149796,0.9695271
57.662918,-17.182228
-51.44495,-10.472114
28.569298,-24.192842
24.326462,34.159706
-52.65381,-16.252293
-14.941733,-11.095104
-33.61937,-14.321714
52.660557,-21.25505
18.74657,-34.043087
37.8113,-37.1454
41.923496,-26.740559
-32.51138,3.146889
-41.48389,-30.64997
-58.96928,-17.779745
1.6267613,-0.88010204
-30.781303,4.436469
-63.70411,27.225607
6.3197975,11.106314
40.718082,-42.6554
-11.303865,52.305115
-51.993748,-23.080841
-40.75183,-31.087086
21.801607,-53.541557
-0.37843126,-10.847394
-33.70845,-33.562614
0.97636795,10.204213
-33.38665,-30.625767
-23.962564,-36.428364
44.188057,-26.010653
-50.172375,18.63875
-56.326267,-18.668346
-8.707887,18.51943
-57.070786,-18.46381
-52.99566,-16.019281
1.9071205,52.035103
27.366295,40.53093
46.11163,26.91668
-7.0658517,27.291447
-3.0392332,-22.325602
-3.1717737,-2.732945
26.24908,-52.53256
30.56364,-32.4212
28.670681,-49.84489
44.045296,-5.755152
-3.791711,45.0149
-9.9247,-13.535334
-35.165836,-18.432203
-13.02421,-0.6220029
-11.519006,-9.248075
27.817427,-39.381313
-41.43655,-27.196583
39.647263,-37.18195
18.290716,22.775572
13.976539,-27.88731
22.351744,-46.35968
-13.840794,16.865332
19.524736,-10.992615
4.5712466,-2.0069172
49.127285,-31.03721
-10.348688,20.564367
-0.51071143,54.703808
-5.2726946,0.90650874
-47.53911,29.61742
-53.255394,-23.734196
-18.44075,31.742374
-51.67355,-24.708323
27.209002,26.044765
14.117549,-14.960749
36.808006,17.31737
-17.601852,16.809856
-17.877954,41.973553
53.128963,11.621358
-39.53151,-25.011328
26.793646,-52.20605
37.840744,20.668901
-13.867207,-43.41529
32.01472,3.2748742
13.614084,27.703741
-60.893574,-11.7154255
59.129856,17.684362
21.934301,-0.3681489
-28.246479,-37.346985
5.016821,28.915335
-0.4516539,52.400295
57.573223,9.101257
20.73066,25.202377
-14.325292,16.567547
-4.6559086,1.181125
-9.779231,32.203575
19.662859,-50.077908
-3.4766386,-24.790707
38.66945,-42.845764
54.13521,-22.09801
20.927204,-1.2927948
32.17139,16.961489
-38.391815,-34.824978
-52.260395,-9.527433
-21.473639,-26.359861
-30.27645,-12.126822
19.25562,-5.0166306
-68.23761,4.1833725
58.515724,11.836767
53.710724,-21.701088
-32.334583,-34.252678
-13.210566,-41.147594
53.786346,-12.641708
9.743416,23.749792
-40.101723,-31.699648
-19.701075,-36.53344
-16.036427,-41.50599
7.3683214,27.663496
48.27787,28.123114
12.4884615,40.217426
-23.25133,-37.415844
17.37049,-48.422646
-33.921642,-25.43893
-27.869576,-34.606853
-21.598606,-35.630325
-48.831944,-1.2497307
22.307652,-53.755257
47.984188,15.648154
37.312565,-37.34614
54.67682,14.187054
-42.802017,-20.33598
64.761116,-16.610754
40.05123,11.871512
-38.62421,-35.830875
-35.612267,-27.559258
-0.99250555,51.59545
-5.5712996,0.3052354
18.446543,-35.426544
-8.811401,18.89643
-33.70431,-33.111168
23.787474,-50.3738
43.119053,27.422699
-11.188244,-12.769955
2.3484905,-16.36365
36.048767,10.453771
42.45324,3.7726083
0.11472511,-4.3557053
44.001755,-23.097233
-34.15396,-33.707577
21.46672,-48.61912
34.90099,-1.1514236
22.917265,-46.258785
7.9745007,26.601734
42.07527,15.125308
-6.142718,1.6426194
-51.250843,-14.9885845
58.967785,12.941214
43.546944,14.331153
-57.91215,-19.237282
45.316296,-32.408577
-18.367428,16.682081
6.115327,30.443596
-51.723225,-24.882986
53.54514,-21.751284
-5.55432,-26.20962
-43.46452,-30.715244
7.519517,28.665808
0.45149663,-13.355596
